index,gt,pred,file_name
16,grid-broken,grid-bent,20016
38,leather-poke,leather-fold,20038
49,screw-good,screw-scratch_head,20049
73,tile-crack,metal_nut-scratch,20073
87,carpet-hole,carpet-cut,20087
101,carpet-good,carpet-thread,20101
106,zipper-broken_teeth,zipper-good,20106
112,transistor-good,transistor-bent_lead,20112
118,capsule-poke,capsule-crack,20118
125,transistor-cut_lead,transistor-good,20125
135,grid-broken,grid-bent,20135
154,zipper-good,zipper-fabric_interior,20154
156,toothbrush-defective,toothbrush-good,20156
163,cable-missing_wire,cable-combined,20163
166,pill-contamination,pill-crack,20166
171,carpet-thread,carpet-good,20171
172,screw-manipulated_front,screw-scratch_head,20172
183,cable-missing_wire,cable-combined,20183
190,pill-scratch,pill-good,20190
194,pill-crack,pill-good,20194
197,zipper-rough,screw-thread_top,20197
201,cable-good,cable-poke_insulation,20201
216,capsule-squeeze,capsule-good,20216
226,pill-faulty_imprint,pill-good,20226
233,pill-contamination,pill-crack,20233
234,zipper-broken_teeth,zipper-split_teeth,20234
249,cable-cable_swap,cable-good,20249
253,capsule-squeeze,capsule-good,20253
256,metal_nut-scratch,metal_nut-good,20256
258,zipper-broken_teeth,zipper-split_teeth,20258
270,carpet-good,carpet-thread,20270
273,transistor-bent_lead,transistor-good,20273
293,leather-poke,leather-cut,20293
300,screw-scratch_neck,screw-scratch_head,20300
309,screw-scratch_neck,screw-good,20309
339,cable-combined,cable-bent_wire,20339
355,capsule-crack,capsule-poke,20355
358,bottle-good,pill-contamination,20358
366,wood-color,wood-combined,20366
368,cable-cable_swap,cable-good,20368
396,cable-good,cable-cable_swap,20396
403,zipper-combined,zipper-fabric_border,20403
406,pill-contamination,pill-crack,20406
409,pill-faulty_imprint,pill-crack,20409
411,capsule-crack,capsule-poke,20411
412,pill-crack,pill-good,20412
419,transistor-good,transistor-bent_lead,20419
422,metal_nut-color,metal_nut-bent,20422
436,wood-scratch,tile-rough,20436
437,pill-faulty_imprint,pill-good,20437
443,screw-good,screw-manipulated_front,20443
444,transistor-good,transistor-bent_lead,20444
446,carpet-thread,wood-scratch,20446
447,zipper-broken_teeth,zipper-split_teeth,20447
458,carpet-hole,carpet-cut,20458
463,leather-poke,leather-cut,20463
469,metal_nut-color,metal_nut-good,20469
477,transistor-good,transistor-bent_lead,20477
480,pill-crack,pill-combined,20480
484,screw-scratch_neck,screw-scratch_head,20484
488,hazelnut-crack,hazelnut-hole,20488
491,cable-missing_wire,cable-poke_insulation,20491
493,screw-thread_side,screw-good,20493
520,tile-good,tile-gray_stroke,20520
528,capsule-poke,capsule-crack,20528
537,wood-scratch,tile-rough,20537
542,grid-metal_contamination,leather-cut,20542
545,zipper-squeezed_teeth,zipper-good,20545
549,pill-good,pill-scratch,20549
558,zipper-broken_teeth,zipper-combined,20558
559,screw-thread_side,screw-scratch_head,20559
561,capsule-scratch,capsule-faulty_imprint,20561
578,grid-good,grid-glue,20578
583,carpet-hole,carpet-cut,20583
593,zipper-broken_teeth,zipper-split_teeth,20593
598,zipper-broken_teeth,zipper-split_teeth,20598
608,transistor-cut_lead,transistor-bent_lead,20608
611,grid-good,grid-glue,20611
615,capsule-crack,capsule-faulty_imprint,20615
616,pill-good,pill-color,20616
621,cable-cut_outer_insulation,cable-good,20621
624,bottle-broken_small,bottle-broken_large,20624
625,carpet-hole,carpet-cut,20625
634,zipper-broken_teeth,zipper-good,20634
636,cable-missing_wire,cable-combined,20636
642,transistor-cut_lead,transistor-good,20642
650,wood-hole,wood-combined,20650
653,screw-manipulated_front,screw-good,20653
654,grid-thread,tile-gray_stroke,20654
655,wood-scratch,tile-rough,20655
658,capsule-squeeze,capsule-good,20658
663,transistor-good,transistor-bent_lead,20663
667,hazelnut-good,capsule-poke,20667
674,pill-faulty_imprint,pill-combined,20674
677,pill-crack,pill-faulty_imprint,20677
683,pill-scratch,pill-good,20683
684,cable-cut_outer_insulation,cable-good,20684
690,metal_nut-color,metal_nut-bent,20690
703,screw-scratch_neck,screw-scratch_head,20703
710,pill-crack,pill-combined,20710
732,pill-crack,pill-good,20732
733,pill-faulty_imprint,pill-contamination,20733
735,metal_nut-color,metal_nut-bent,20735
736,carpet-good,carpet-thread,20736
738,capsule-scratch,capsule-faulty_imprint,20738
742,pill-color,pill-combined,20742
743,pill-faulty_imprint,pill-contamination,20743
766,grid-broken,grid-bent,20766
772,wood-scratch,tile-rough,20772
786,toothbrush-defective,toothbrush-good,20786
792,toothbrush-defective,toothbrush-good,20792
793,toothbrush-defective,toothbrush-good,20793
811,capsule-scratch,capsule-faulty_imprint,20811
820,pill-scratch,pill-faulty_imprint,20820
828,hazelnut-crack,hazelnut-hole,20828
