index,gt,pred,file_name
5,pill-crack,pill-good,20005
13,screw-thread_side,screw-thread_top,20013
16,grid-broken,grid-bent,20016
17,carpet-cut,carpet-hole,20017
24,pill-scratch,pill-good,20024
38,leather-poke,leather-cut,20038
49,screw-good,screw-scratch_head,20049
60,transistor-good,transistor-misplaced,20060
61,pill-combined,pill-faulty_imprint,20061
62,capsule-squeeze,capsule-good,20062
63,zipper-squeezed_teeth,zipper-broken_teeth,20063
67,capsule-poke,capsule-crack,20067
73,tile-crack,carpet-thread,20073
106,zipper-broken_teeth,zipper-rough,20106
118,capsule-poke,capsule-good,20118
125,transistor-cut_lead,transistor-good,20125
128,pill-scratch,pill-faulty_imprint,20128
135,grid-broken,grid-bent,20135
156,toothbrush-defective,toothbrush-good,20156
163,cable-missing_wire,cable-combined,20163
166,pill-contamination,pill-good,20166
171,carpet-thread,carpet-good,20171
183,cable-missing_wire,cable-combined,20183
184,pill-faulty_imprint,pill-good,20184
189,transistor-good,transistor-misplaced,20189
190,pill-scratch,pill-good,20190
226,pill-faulty_imprint,pill-good,20226
229,transistor-damaged_case,transistor-good,20229
233,pill-contamination,pill-good,20233
234,zipper-broken_teeth,zipper-split_teeth,20234
238,hazelnut-crack,hazelnut-cut,20238
244,wood-color,wood-hole,20244
253,capsule-squeeze,capsule-good,20253
257,capsule-poke,capsule-crack,20257
258,zipper-broken_teeth,zipper-split_teeth,20258
273,transistor-bent_lead,transistor-good,20273
276,pill-color,pill-combined,20276
282,transistor-bent_lead,transistor-good,20282
290,carpet-cut,carpet-hole,20290
293,leather-poke,leather-cut,20293
302,zipper-broken_teeth,zipper-split_teeth,20302
309,screw-scratch_neck,screw-good,20309
328,pill-crack,pill-good,20328
330,screw-scratch_neck,screw-scratch_head,20330
339,cable-combined,cable-bent_wire,20339
342,metal_nut-good,metal_nut-bent,20342
345,leather-glue,leather-poke,20345
350,carpet-thread,pill-scratch,20350
353,capsule-scratch,capsule-good,20353
355,capsule-crack,capsule-poke,20355
360,transistor-cut_lead,transistor-good,20360
361,capsule-poke,capsule-crack,20361
